F,zF,LT,VB,qF,y_D,x_B,residual_norm,success
0.8,0.45999999999999996,2.8686674,3.0459755000000004,1.0,0.9996103223267565,0.306348907881376,8.954954618468397e-09,True
0.8,0.45999999999999996,2.8686674,3.20629,1.0,0.9987449776999142,0.06661474296360281,1.3027514376302311e-08,True
0.8,0.45999999999999996,2.8686674,3.3666045,1.0,0.7387913641266068,0.00042497983616623616,1.3055565273673535e-15,True
0.8,0.45999999999999996,2.8686674,3.5269190000000004,1.0,0.5590257202026404,0.0001440995030090318,1.4241143697250571e-09,True
0.8,0.45999999999999996,2.9769190000000005,2.8856610000000003,1.0,0.9999396592450315,0.515285689916257,3.521376058823511e-15,True
0.8,0.45999999999999996,2.9769190000000005,3.0459755000000004,1.0,0.9998231427767895,0.4089998009086539,8.266501186559891e-08,True
0.8,0.45999999999999996,2.9769190000000005,3.20629,1.0,0.999488704489817,0.2431470379306355,8.242559644644631e-08,True
0.8,0.45999999999999996,2.9769190000000005,3.3666045,1.0,0.9433771513649118,0.0009251515161874901,2.5766726441332253e-15,True
0.8,0.45999999999999996,2.9769190000000005,3.5269190000000004,1.0,0.6689668637462892,0.0002728993917061698,1.6792910423953798e-09,True
0.8,0.5399999999999999,2.435661,2.8856610000000003,1.0,0.9585691773398545,0.0018390356019319198,8.036323118076893e-08,True
0.8,0.5399999999999999,2.435661,3.0459755000000004,1.0,0.7077201864918308,0.00035900019365623823,5.457728435023922e-09,True
0.8,0.5399999999999999,2.435661,3.20629,1.0,0.5605768785313886,0.00010677675321059387,5.074110423861216e-08,True
0.8,0.5399999999999999,2.435661,3.3666045,1.0,0.46405036920121956,3.5806878005447016e-05,1.3010028079318575e-08,True
0.8,0.5399999999999999,2.435661,3.5269190000000004,1.0,0.39587688296571116,1.2974180380743997e-05,3.211448155746697e-08,True
0.8,0.5399999999999999,2.5439126,2.8856610000000003,1.0,0.9987317978311998,0.19789348484994704,2.7920175298041886e-15,True
0.8,0.5399999999999999,2.5439126,3.0459755000000004,1.0,0.8599607821831194,0.0008243210089591336,2.720189110749668e-15,True
0.8,0.5399999999999999,2.5439126,3.20629,1.0,0.6521500081073622,0.00022215759224447135,2.313958398233391e-08,True
0.8,0.5399999999999999,2.5439126,3.3666045,1.0,0.5251074694554466,7.214585226284756e-05,2.306632207195508e-08,True
0.8,0.5399999999999999,2.5439126,3.5269190000000004,1.0,0.4394729237143145,2.5737504247761602e-05,9.48391615816107e-09,True
